"","ID","Label","Statement","Subject(s)","Speaker","Speaker Job Title","State Info","The Party Affiliation","Barely True Counts","False Counts","Half True Counts","Mostly True Counts","Pants on Fire Counts","Venue/Location"
"7422",7423,"barely-true","[U]nlike every other major transit system in the nation, MARTA has never received any significant, dedicated funding from the state of Georgia.","transportation","michael-tyler","Chariman, Metropolitan Atlanta Rapid Transit Authority's Board of Directors","Georgia","none",1,0,0,0,0,"an op-ed piece in The Atlanta Journal-Constitution"
"7423",7424,"half-true","John Kerry was at 4 percent in the polls in December of 2003...and he ended up becoming the nominee of the party.","elections","chris-dodd","U.S. senator","Connecticut","democrat",0,0,3,3,0,"an interview on CNN's <i>The Situation Room</i>"
"7424",7425,"mostly-true","A federal judge said President Barack Obamas executive action on immigration is unconstitutional.","homeland-security,immigration","david-jolly","unknown","Florida","republican",4,0,1,1,0,"a speech on the U.S. House floor"
"7425",7426,"mostly-true","At $587 apiece, USA would need to bring home about 33.1 BILLION gold medals to pay off our national debt.","debt","scott-rigell","U.S. Congressman","Virginia","republican",2,2,0,1,0,"a Facebook post"
"7426",7427,"mostly-true","In other states (where illegal immigrants have been allowed to get drivers licenses) their insurance premiums for everybody have gone down.","economy,immigration,public-safety,market-regulation","gina-raimondo","venture capital company founder","Rhode Island","democrat",2,1,2,5,1,"a television interview"
"7427",7428,"half-true","I want to freeze interest rates for five years.","economy","hillary-clinton","Presidential candidate","New York","democrat",40,29,69,76,7,"Los Angeles, Calif."
"7428",7429,"pants-fire","Two elections in a row (Waukesha County Clerk Kathy Nickolaus) has screwed up counting the vote","elections","state-democratic-party-wisconsin","unknown","Wisconsin","democrat",5,7,2,2,7,"a television interview"
"7429",7430,"half-true","The Georgia Department of Economic Development assisted with the creation of 28,776 jobs, an increase of 29 percent from last fiscal year, and $5.97 billion in investments, a 32 percent increase.","economy,jobs","nathan-deal","unknown","unknown","republican",9,5,11,11,0,"news release"
"7430",7431,"false","For the last decade the climate has been cooling.","cap-and-trade,climate-change,environment,pundits","mary-matalin","unknown","unknown","republican",1,1,0,0,0,"CNN's Situation Room program"
"7431",7432,"true","Accidents are down 50 percent and injury accidents are down 60 percent in the rebuilt Marquette Interchange in Milwaukee.","public-safety,state-budget,transportation","wisconsin-transportation-builders-association","unknown","Wisconsin","organization",0,0,0,0,0,"a radio ad"
"7432",7433,"pants-fire","Says Obama opposes innovation, the electric car and ""clean, safe, nuclear energy.""","energy","john-mccain","U.S. senator","Arizona","republican",31,39,31,37,8,"a Web ad"
"7433",7434,"false","Says $57,000 is the mean [income] in our state for a family.","families,income","sheila-oliver","Assemblywoman","New Jersey","democrat",0,1,1,3,0,"an interview on WOR-AM"
"7434",7435,"barely-true","Says the one person (Donald Trump)has suggested that would make a good justice is his sister, who is a court of appeals judge appointed by Bill Clinton. She is a hardcore pro-abortion liberal judge.","abortion,supreme-court","ted-cruz","Senator","Texas","republican",36,33,15,19,8,"on ABC's ""This Week"""
"7435",7436,"mostly-true","Today in America, we have more people in jail than any other country on Earth.","criminal-justice","bernie-s","U.S. Senator","Vermont","independent",18,12,22,41,0,"the first Democratic debate"
"7436",7437,"false","The Muslim Brotherhood has openly stated they want to declare war on Israel.","foreign-policy,israel,pundits,terrorism","glenn-beck","unknown","unknown","none",5,7,7,2,6,"a comment on his television show"
"7437",7438,"mostly-true","On financial reform, there is ""a million dollars being spent, per congressman, in lobbying expenses on this issue. (The) industry has four lobbyists per member of the House and Senate working on this.""","corporations,ethics,market-regulation,abc-news-week","lawrence-summers","unknown","unknown","democrat",0,0,0,1,0,"an interview on ""This Week."""
"7438",7439,"barely-true","Elena Kagan ""violated the law of the United States at various points"" with her opposition to military recruiters.","kagan-nomination,military,supreme-court,abc-news-week","jeff-sessions","unknown","Alabama","republican",2,2,2,1,0,"ABC's ""This Week"""
"7439",7440,"mostly-true","Sixty million Americans depend on Social Security, and one-third of all the seniors in America depend on Social Security for 90 percent of their income.","income,retirement,social-security","mike-huckabee","author","Arkansas","republican",12,5,9,3,4,"a speech at Gov. Rick Scott's economic summit in Orlando"
"7440",7441,"barely-true","Already we've identified $2 trillion in deficit reductions over the next decade.","federal-budget","barack-obama","President","Illinois","democrat",70,71,160,163,9,"a speech at Georgetown University"
"7441",7442,"false","Says the Medicaid fraud rate in Virginia was fact-checked and found to be 0.47 percent.","health-care,medicaid","terry-mcauliffe","Governor","Virginia","democrat",12,6,2,2,3,"a radio interview."
"7442",7443,"false","The presence of gorillas calls into question the concept of evolution.","science","rush-limbaugh","Radio host","unknown","none",9,11,5,2,10,"the Rush Limbaugh Show"
"7443",7444,"true","Says Milwaukee County spent over $170,000 in salaries in 2010 for employees to participate in union activities such as collective bargaining.","county-government,state-budget,unions","scott-walker","Milwaukee County Executive","Wisconsin","republican",26,41,32,40,11,"a news release"
"7444",7445,"true","The U.S. has 5 percent of the worlds population, 25 percent of the worlds known prison population.","criminal-justice","jim-webb","writer","Virginia","democrat",1,0,1,5,0,"a conference."
"7445",7446,"true","There have been at least four incidents where bullets from Mexico have crossed the border.","crime,immigration,public-safety","greg-abbott","governor","Texas","republican",11,3,8,6,5,"a press release"
"7446",7447,"true","On oil drilling","energy,environment","barack-obama","President","Illinois","democrat",70,71,160,163,9,"an announcement at Andrews Air Force Base"
"7447",7448,"pants-fire","Today President Obama said there will NOT be a National Day of Prayer in May.","history,religion","facebook-posts","Social media posting","unknown","none",14,18,15,11,36,"a multitude of Facebook posts"
"7448",7449,"barely-true","We were promised. The president said we would keep unemployment under 8.5 percent (if the stimulus passed).","economy,stimulus","eric-cantor","House Majority Leader","Virginia","republican",9,6,4,4,4,"a PBS interview."
"7449",7450,"true","George Allen voted to add $3 trillion to the federal debt, voted to raise the debt ceiling four times and voted for the No Child Left Behind Act while he was a senator.","deficit,education,federal-budget","jamie-radtke","unknown","Virginia","republican",1,1,1,2,0,"a blog post."
"7450",7451,"barely-true","Elizabeth Townsend runs the elections office that omitted a school board race on a ballot and gave a School Board candidate faulty advice.","candidates-biography","shirley-anderson","unknown","Florida","republican",1,0,0,0,0,"a campaign flyer"
"7451",7452,"half-true","Says John Raese said he wants 1,000 laser systems put in the sky, and we need it right now.","foreign-policy,message-machine,military,technology","joe-manchin","Senator from West Virginia","West Virginia","democrat",0,0,1,1,0,"a campaign Web ad"
"7452",7453,"mostly-true","The Islamic State, or ISIS, was cast off by al-Qaida because it was considered too extreme.","iraq,terrorism","david-gregory","Host of NBC's Meet the Press","Washington, D.C.","none",1,0,0,1,0,"comments on NBC's ""Meet the Press"""
"7453",7454,"barely-true","The Foundation for Government Accountability, which supported a Florida law requiring drug testing of welfare recipients, is a Koch brothers affiliated group.","drugs,florida","rachel-maddow","MSNBC host","unknown","none",6,6,4,6,1,"comments on her show"
"7454",7455,"true","The Senate immigration bill is filled with things like rewards for au pair agencies, Alaskan seafood processors and Vegas casinos.","federal-budget,immigration","karen-handel","unknown","unknown","republican",2,0,3,3,1,"a Twitter post"
"7455",7456,"half-true","Over the last several years, 40 percent (of) the jobs created in Texas were created for illegal aliens.","economy,immigration,jobs","mitt-romney","Former governor","Massachusetts","republican",34,32,58,33,19,"a Republican presidential debate in Las Vegas"
"7456",7457,"mostly-true","For every one mile of light-rail track that will be built, 16 miles of new road capacity will be built.","transportation","colleen-kiernan","unknown","Georgia","none",0,0,0,2,0,"an interview"
"7457",7458,"half-true","The governor switched his position once again on offshore oil drilling.","energy,environment,oil-spill","kendrick-meek","unknown","Florida","democrat",2,6,1,4,1,"an interview on CNN."
"7458",7459,"half-true","The United States is the No. 1 country in the world for energy resources. We are the king daddy dogs when it comes to energy.","energy,environment","michele-bachmann","Congresswoman","Minnesota","republican",8,22,6,4,16,"a campaign event"
"7459",7460,"pants-fire","Says Barack Obama is a socialist.","candidates-biography","roger-williams","Businessman","Texas","republican",3,2,2,0,1,"an Austin appearance with Wes Riddle, fellow GOP hopeful for US House."
"7460",7461,"half-true","Under a new law regulating abortions, Even if youre raped, if you dont report it in the first 30 days, the Republicans will force you to have an ultrasound.","abortion,health-care,women","peter-barca","State Representative","Wisconsin","democrat",0,2,2,3,1,"an interview"
"7461",7462,"false","Assertions that it makes no difference whether children are raised by heterosexual or homosexual parents have been shattered by the latest and best social science and research.","children,diversity,families,gays-and-lesbians,marriage","susan-yoshihara","Director of research, Catholic Family and Human Rights Institute","Rhode Island","newsmaker",0,1,0,0,0,"testimony before a R.I. Senate committee"
"7462",7463,"half-true","In my attorney generals office, weve cut the budget 18 percent.","state-budget","bill-mccollum","unknown","Florida","republican",2,1,2,0,1,"a debate."
"7463",7464,"half-true","In North Carolina, now were near the national average for unemployment.","economy,states,workers","thom-tillis","House Speaker and U.S. Senate candidate","North Carolina","republican",2,0,1,1,0,"a debate"
"7464",7465,"half-true","Obamacare includes a $700 billion cut from Medicare for seniors.","elections,health-care,medicare","national-republican-congressional-committee","unknown","unknown","republican",18,9,8,5,8,"a television ad"
"7465",7466,"half-true","The rate of U.S. female homicide victimsoutnumbers 24 other developed countries by more than 2 to 1.","crime,guns,history,public-safety","everytown-gun-safety","Advocacy group","New York","none",3,0,1,0,0,"a Facebook meme"
"7466",7467,"mostly-true","Austin Energy is considering its first rate increase since 1994.","city-budget,city-government,energy","kathie-tovo","Mother","Texas","democrat",1,0,0,2,0,"“Voters Guide,” League of Women Voters of the Austin Area."
"7467",7468,"mostly-true","Says Ronald Reagan reversed his worlds largest tax cut and raised taxes when revenues did not match the expectations.","taxes","stephen-colbert","unknown","unknown","none",1,0,0,2,0,"an interview with Ted Cruz"
"7468",7469,"barely-true","Wendy Davis is threatening to raise taxes up to $35 billion.","state-budget,state-finances,taxes","greg-abbott","governor","Texas","republican",11,3,8,6,5,"a Facebook page"
"7469",7470,"half-true","Alex Sink used a taxpayer-funded plane so she could get to a vacation in the Bahamas.","ethics,florida","national-republican-congressional-committee","unknown","unknown","republican",18,9,8,5,8,"in a Web campaign ad"
"7470",7471,"barely-true","Roy Blunt voted to raise his own pay 12 times while in Congress.","candidates-biography,voting-record","jason-kander","Secretary of State","Missouri","democrat",1,0,0,1,0,"a campaign ad"
"7471",7472,"barely-true","Mitt Romney wants ""to set a date for withdrawal"" from Iraq.","iraq","john-mccain","U.S. senator","Arizona","republican",31,39,31,37,8,"Fort Myers, Fla."
"7472",7473,"mostly-true","Says Donald Trump claimed our armed forces are a disaster.","foreign-policy,military","hillary-clinton","Presidential candidate","New York","democrat",40,29,69,76,7,"a speech at the Democratic convention"
"7473",7474,"true","Says under Wisconsin law, he cannot remove his name from the ballot for re-election to Congress.","elections","paul-ryan","U.S. Representative","Wisconsin","republican",19,6,16,14,2,"a television interview"
"7474",7475,"barely-true","In fighting collective bargaining changes, Democrats are trying to protect a system that pays unionized government workers 42 percent more than non-union workers.","labor,state-budget","crossroads-gps","Conservative advocacy group","unknown","republican",9,1,4,1,2,"a television ad"
"7475",7476,"false","Under Gov. Romneys definition ... Donald Trump is a small business.","debates,small-business,taxes","barack-obama","President","Illinois","democrat",70,71,160,163,9,"the first presidential debate in Denver"
"7476",7477,"true","The potential Iran nuclear agreement would limit Iran to the number of centrifuges needed for a weapon but too few for a nuclear power program.","foreign-policy,nuclear","michael-morell","unknown","unknown","none",0,0,0,1,0,"a broadcast of ""Charlie Rose"""
"7477",7478,"barely-true","In Liberia, a girl is more likely to be married by 18 than to know how to read.","children,education,women","tina-rosenberg","unknown","unknown","columnist",1,0,0,0,0,"an article"
"7478",7479,"half-true","Obama voted for the Bush-Cheney energy bill that put $6-billion in the pocket of big oil.","energy","hillary-clinton","Presidential candidate","New York","democrat",40,29,69,76,7,"a TV ad airing in Pennsylvania."
"7479",7480,"mostly-true","It would be illegal for the Fulton County Commission to raise the county tax rate.","county-government","john-albers","unknown","unknown","republican",0,1,0,1,0,"In an emai to constituents"
"7480",7481,"barely-true","SaidPresident Barack Obama said he was going to stop (signature strikes).","afghanistan,terrorism","richard-clarke","unknown","unknown","none",1,0,0,0,0,"a panel on ABC ""This Week"""
"7481",7482,"half-true","Says the national debt and President Barack Obamas refusal to control spending led to our nations credit rating being downgraded for the first time in history.","deficit,economy,federal-budget","rick-perry","Governor","Texas","republican",30,30,42,23,18,"a campaign video on his website"
"7482",7483,"half-true","An Internet sweepstakes cafe is a legitimate business that has been vetted and found to be completely legal in the state.","gambling","peter-nehr","State Representative","Florida","republican",0,0,1,0,0,"comments published in the 'St. Petersburg Times'"
"7483",7484,"true","In 2008, candidate Barack Obama attacked John McCain for proposing cuts to Medicare.","medicare,message-machine-2012","mitt-romney","Former governor","Massachusetts","republican",34,32,58,33,19,"a campaign ad"
"7484",7485,"mostly-true","Donna Campbell has called for ending all federal funding for education","education,federal-budget,taxes","lloyd-doggett","Texas congressman in the U.S. Houst of Representatives","Texas","democrat",1,0,2,7,0,"a campaign mailer"
"7485",7486,"true","Palin (proposed) a $150 bounty for the severed foreleg of each killed wolf.","environment","defenders-wildlife-action-fund-defenders-wildlife-","unknown","unknown","none",0,0,0,0,0,"a TV ad"
"7486",7487,"false","One of the biggest polluters in our country is the Milwaukee Metropolitan Sewerage District.","environment","jim-sensenbrenner","Member of Congress","Wisconsin","republican",2,4,1,0,0,"a discussion at a town hall meeting"
"7487",7488,"barely-true","Says the United States has treaties with apparently 69 countries where we are obligated to defend their borders. And these were treaties that were executive treaties, not authorized by Congress.","congress,foreign-policy","gary-johnson","Presidential candidate","New Mexico","libertarian",3,2,5,6,0,"an appearance on Meet the Press"
"7488",7489,"true","Social Security ... is solid through about 2040 without any changes whatsoever.","federal-budget","dennis-kucinich","U.S. representative","Ohio","democrat",1,3,4,6,0,"Hanover, N.H."
"7489",7490,"mostly-true","Says under his utility rate plan, An estimated 50 percent of our residential households will see a decrease in their water and wastewater bills.","city-budget,water","dwight-jones","Mayor, City of Richmond","Virginia","democrat",1,1,1,1,0,"a statement."
"7490",7491,"half-true","Says Mitt Romney and Paul Ryan would eliminate the guarantee of Medicare.","health-care,medicare","joe-biden","U.S. senator","Delaware","democrat",11,10,21,16,4,"the vice presidential debate in Danville, Ky."
"7491",7492,"mostly-true","Weeks after accepting a quarter-million-dollar campaign contribution from a hospital board chairman, Greg Abbott went to court against victims of a drug-taking neurosurgeon.","campaign-finance,health-care,legal-issues","wendy-davis","state senator","Texas","democrat",5,1,8,12,1,"a TV ad"
"7492",7493,"pants-fire","We have a fire marshal that said, Oh we cant allow more people ... And the reason they wont let them in is because they dont know what the hell theyre doing.","public-safety","donald-trump","President-Elect","New York","republican",63,114,51,37,61,"a rally speech"
"7493",7494,"barely-true","We have been teaching these (Common Core) standards in Florida schools since 2010.","education","janet-adkins","state representative","Florida","republican",1,0,1,1,0,"a Florida House subcommittee meeting"
"7494",7495,"half-true","Says Gov. Jeb Bush vetoed the Quiones Plan because it was taxation without representation on a large scale.","taxes","alan-grayson","U.S. House of Representatives","Florida","democrat",6,5,4,11,1,"a campaign mailer"
"7495",7496,"pants-fire","Says crime statistics show blacks kill 81 percent of white homicide victims.","crime","donald-trump","President-Elect","New York","republican",63,114,51,37,61,"a tweet"
"7496",7497,"false","If youre from Guatemala and you are found illegally in Mexico, you are automatically jailed.","immigration","sam-olens","unknown","Georgia","republican",0,1,1,1,0,"a radio news story"
"7497",7498,"false","On oil drilling off Virginias coast.","energy,environment","terry-mcauliffe","Governor","Virginia","democrat",12,6,2,2,3,"a campaign statement."
"7498",7499,"true","Says Texas has the 15th largest economy in the world.","economy,states","texas-petition","unknown","unknown","none",0,0,0,0,0,"the White House's ""We the People"" petition web site"
"7499",7500,"barely-true","When Congress voted to condemn Iran for sentencing a Christian pastor to death, (U.S. Rep. Lois) Capps was the only member who voted no.","congressional-rules,foreign-policy,human-rights,islam,israel,religion","emergency-committee-israel","Advocacy group for U.S. policy toward Israel","Washington, D.C.","none",2,0,0,0,0,"a campaign ad"
"7500",7501,"half-true","As mayor, every year I was in office I did reduce taxes.","taxes","sarah-palin","unknown","Alaska","republican",9,19,9,6,6,"a debate in St. Louis"
"7501",7502,"half-true","Says Mark Hass raised your taxes by $1 billion in a single day.","taxes","taxpayer-association-oregon","political action committee","Oregon","none",0,1,2,0,0,"a campaign mailer."
"7502",7503,"false","Six institutions in our country now control two thirds of the capital.","economy,financial-regulation","marcy-kaptur","Representative from Ohio's Ninth Congressional District","Ohio","democrat",0,2,4,4,0,"an MSNBC interview"
"7503",7504,"mostly-true","Bruce Rauner is of record that he will fully support the Trump candidacy. Its documented. Its available.","elections","michael-madigan","Speaker of the House","Illinois","democrat",1,0,0,1,0,"Interview with WSIU and WBBM, published Aug. 1."
"7504",7505,"barely-true","State pension fund staffers lost billions. Then Sink gave them bonuses.","economy,florida,message-machine,retirement","republican-party-florida","unknown","unknown","republican",10,6,6,6,4,"a television ad"
"7505",7506,"barely-true","The Austin school district calendar lists 64 different dates for either a state-mandated test or make-up test.","education","sara-stevenson","Librarian","Texas","none",1,0,0,0,0,"an op-ed column."
"7506",7507,"mostly-true","Most of the newspapers that endorsed Alex Sink also endorsed Barack Obama.","elections,pundits","rick-scott","Governor","Florida","republican",28,23,38,34,7,"a debate"
"7507",7508,"half-true","Were worse than a Third World country in terms of water quality and the way we treat our sewage.","environment,infrastructure","mike-polensek","Cleveland city councilman","Ohio","democrat",0,0,1,0,0,"a public meeting"
"7508",7509,"mostly-true","John McCain ""is proposing tax cuts that would give the average Fortune 500 CEO an additional $700,000 in tax cuts.""","taxes","barack-obama","President","Illinois","democrat",70,71,160,163,9,"a debate in Nashville, Tenn."
"7509",7510,"false","Says President Barack Obama wants to raise the lowest (income) tax rate from 10 to 15 percent.","federal-budget,income,taxes","reince-priebus","Chairman, Republican National Committee","Wisconsin","republican",2,12,8,3,1,"an interview"
"7510",7511,"mostly-true","Says Scott Walker eliminated his own office of economic development in the middle of this recession.","jobs,message-machine","tom-barrett","Mayor of Milwaukee","Wisconsin","democrat",2,5,8,5,3,"a campaign TV ad"
"7511",7512,"barely-true","Says Schaufler was the only Democrat who voted to stop the states health care reform plan.","voting-record","oregon-league-conservation-voters","unknown","unknown","none",1,0,0,0,0,"a campaign mailer"
"7512",7513,"barely-true","Typical minimum wage earners in America are teenagers living with their parents in middle class families.","jobs,workers","wisconsin-manufacturers-and-commerce","unknown","Wisconsin","organization",3,0,2,2,0,"an opinion piece"
"7513",7514,"true","All travelers -- even babies -- arriving in the U.S. by air must have a passport.","homeland-security","john-axford","Relief pitcher for the Milwaukee Brewers","Wisconsin","none",0,0,0,0,0,"a Tweet"
"7514",7515,"true","Says she is 6th in hard dollars raised and has more cash on hand than Governors (John) Kasich and (Chris) Christie combined.","campaign-finance","carly-fiorina","unknown","California","republican",5,5,4,3,2,"a column posted on Medium.com"
"7515",7516,"true","Right now we are spending at an all-time high, close to 25 percent of our GDP [is] being spent on the federal government. But our revenues are at an almost all-time low of about 15 percent [of GDP].","deficit,economy,federal-budget,taxes","mark-warner","U.S. Senator","Virginia","democrat",3,1,6,3,0,"a TV appearance."
"7516",7517,"barely-true","Earlier this year, the head of the Congressional Budget Office testified before Congress that implementation of Obamacare would cost 800,000 jobs.","health-care,jobs","adam-hasner","unknown","Florida","republican",2,1,4,4,0,"a press statement"
"7517",7518,"true","According to a recent poll, there are more young Republicans enrolled in their parents (health insurance) plans than young Democrats.","health-care","bill-clinton","former president","Arkansas","democrat",4,2,12,11,3,"a speech in Little Rock, Ark."
"7518",7519,"true","[Tailpipe emissions rules], if fully implemented with all the regulations that go with it, they will keep the temperature from rising nearly five one-hundredths of a degree Fahrenheit. By 2050.","climate-change,environment,transportation","ken-cuccinelli","Attorney General","Virginia","republican",1,10,3,2,1,"a speech to Tea Party activists."
"7519",7520,"half-true","On issue after issue that really were hard to explain or understand, you voted present . . . And anytime anyone raises that, there's always some kind of explanation.","candidates-biography","hillary-clinton","Presidential candidate","New York","democrat",40,29,69,76,7,"Myrtle Beach, S.C."
"7520",7521,"half-true","Federal law for Obamacare navigators does not bar or even require screening for convicted felons, including individuals convicted of identity theft or fraud.","crime,criminal-justice,health-care","pete-sessions","U.S. House representative","Texas","republican",1,0,1,0,0,"an oped column"
"7521",7522,"true","Michael Thurmond authored major legislation that has provided more than $250 million in tax relief to Georgias senior citizens and working families.","taxes","michael-thurmond","Labor Commissioner","Georgia","democrat",1,0,0,0,0,"his campaign website"
"7522",7523,"mostly-true","[T]his breed (of pit bulls) is most often associated with aggressive behavior.","animals","elaine-boyer","unknown","unknown","republican",0,0,1,1,0,"an interview"
"7523",7524,"mostly-true","Says Marco Rubio would take away a womans right to choose for victims of rape or incest.","abortion,voting-record","patrick-murphy","unknown","Florida","democrat",2,1,4,5,0,"a campaign ad"
"7524",7525,"mostly-true","DeKalb County has graduated five police academies and three fire academies to help reach its ambitious hiring goals in both departments.","county-budget,public-safety","lee-may","unknown","Georgia","democrat",0,0,0,2,0,"the 2015 State of the County address"
"7525",7526,"false","Says President Barack Obamas parents were communists.","elections","samuel-wurzelbacher","Republican candidate for Congress","Ohio","republican",0,1,0,1,1,"a letter published by the Christian Broadcasting Network"
"7526",7527,"half-true","Harvard Study Finds States With Most Gun Laws Have Fewest Gun Deaths.","crime,criminal-justice,guns,public-safety","facebook-posts","Social media posting","unknown","none",14,18,15,11,36,"a Facebook post"
"7527",7528,"false","None of $400 million the City of Austin proposes to spend on road projects will be used to add new lanes to congested roadways.","corrections-and-updates,transportation","citizens-against-rail-taxes","Political action committee","Tex","none",0,1,0,0,0,"a radio ad"
"7528",7529,"barely-true","(Rep. Bob Goodlattes) balanced budgetamendment does not require a balanced budget.","deficit,federal-budget","bobby-scott","U.S. Congressman","Virginia","democrat",1,2,1,5,0,"a letter."
"7529",7530,"half-true","It was Dan Sullivan who wrote a bill to cut Alaskans out of those decisions about where they can hunt and fish.","congress,elections,environment,government-regulation,campaign-advertising","put-alaska-first-pac","political action committee","Alaska","none",0,0,1,0,0,"a television ad"
"7530",7531,"half-true","A school uniform policy helps with school safety, helps with truancy.","education","janet-adkins","state representative","Florida","republican",1,0,1,1,0,"a discussion about school uniforms"
"7531",7532,"half-true","Says constitutional amendment would help to stop unfair, double taxation on real estate.","taxes","Yes-on-79","unknown","Oregon","none",0,0,1,0,1,"an ad and on their website"
"7532",7533,"false","John McCain accused Barack Obama ""of letting infants die.""","abortion","barack-obama","President","Illinois","democrat",70,71,160,163,9,"a TV ad"
"7533",7534,"false","Sherrod Brown voted six times to raise his own pay.","congress,job-accomplishments,message-machine-2012,voting-record","josh-mandel","Ohio treasurer","Ohio","republican",4,5,4,5,6,"a campaign commercial"
"7534",7535,"barely-true","The size of our federal government has more than doubled since the year 2000.","federal-budget","scott-bruun","State representative","Oregon","republican",2,1,0,0,0,"a statement on his website"
"7535",7536,"false","The latest unemployment numbers have shown that nearly 315,000 Americans have simply given up hope when it comes to finding a job.","economy,jobs","paul-broun","Congressman","Georgia","republican",4,8,3,2,1,"a press release"
"7536",7537,"true","The changes to Georgias tax and fee structure is an overall tax cut.","state-budget,state-finances,taxes","brian-robinson","unknown","Georgia","republican",1,1,0,2,0,"an interview"
"7537",7538,"pants-fire","Says Obama wants to redesign the American flag ""to better offer our enemies hope and love.""","patriotism","chain-email","unknown","unknown","none",11,43,8,5,105,"a widely circulated e-mail"
"7538",7539,"false","Gun homicide is down 49 percent in the past 12 years.","guns","facebook-posts","Social media posting","unknown","none",14,18,15,11,36,"a meme on social media"
"7539",7540,"half-true","Says he voted for disaster relief and full funding of FEMA.","candidates-biography,congress,federal-budget,homeland-security,voting-record,weather","tom-cotton","U.S. House of Representatives","Arkansas","republican",3,4,2,3,1,"a television ad"
"7540",7541,"mostly-true","Thirteen hundred applicants in Rhode Island signed up for insurance through Obamacare.","health-care,public-health,states","sheldon-whitehouse","U.S. Senator","Rhode Island","democrat",2,3,2,7,0,"an appearance on CNN's ""Crossfire."""
"7541",7542,"false","Theres no money in Social Security.","economy,federal-budget,social-security,taxes","barry-hinckley","unknown","Rhode Island","republican",0,4,1,2,2,"an appearance on Channel 6"
"7542",7543,"false","Says it cost Massachusetts taxpayers $100,000 when Mitt Romney and his staff purchased computer hard drives.","message-machine-2012,new-hampshire-2012","democratic-national-committee","unknown","unknown","none",8,2,10,8,0,"a Democratic Natonal Committee advertisement"
"7543",7544,"false","On support for gay marriage","marriage","charlie-crist","unknown","Florida","democrat",15,9,20,19,2,"a Facebook post"
"7544",7545,"true","A Republican-led softening of firearms training rules means that untrained individuals would be allowed to carry guns with a state permit.","guns,market-regulation","donna-seidel","State Assembly, District 85","Wisconsin","democrat",0,1,0,0,0,"a press release"
"7545",7546,"barely-true","Says Julie Parrish voted to divert $160 million from public schools to private for-profit schools.","education,voting-record","carl-hosticka","Metro councilor","unknown","democrat",1,0,0,0,0,"a guest column"
"7546",7547,"mostly-true","The employer mandate affects only 5 percent of businesses in this country.","health-care,small-business","chris-van-hollen","unknown","Maryland","democrat",0,0,0,4,0,"an interview with Fox News"
"7547",7548,"false","The study that states that more than 70 percent of the traffic on the Sellwood Bridge is to/from Clackamas County has been thoroughly debunked by The Oregonian.","transportation","john-lee","Chair of Clackamas County Republicans","Oregon","republican",0,1,1,0,0,"May 17 election voters pamphlet"
"7548",7549,"half-true","Recently we have seen our government debt grow by $3.4 trillion during the first 29 months of the Obama administration -- the equivalent of about $4 billion per day.","deficit","leonard-lance","unknown","unknown","republican",0,0,1,2,0,"a column"
"7549",7550,"mostly-true","Clinton has ""raised the most money from Washington lobbyists ... from the health industry, drug companies, health insurance companies (and) the defense industry.""","ethics","john-edwards","former senator","North Carolina","democrat",0,2,4,4,1,"a Democratic debate in Philadelphia, Pa."
"7550",7551,"false","If all of the [Bush-era] tax cuts expire on schedule, the budget will be close to being balanced in four years.","deficit,federal-budget,taxes","bobby-scott","U.S. Congressman","Virginia","democrat",1,2,1,5,0,"a statement in the Times-Dispatch voters' guide"
"7551",7552,"half-true","Says Scott Browns carrying some big oil baggage because he collected over $400,000 in campaign contributions.","campaign-finance,energy","senate-majority-pac","political action committee","Washington, D.C.","democrat",3,4,4,1,0,"a TV ad"
"7552",7553,"mostly-true","More than 60 percent of people in America support Planned Parenthood and only 11 percent approve of Congress.","abortion,congress","cecile-richards","president, Planned Parenthood Federation of America","New York","democrat",0,0,2,2,0,"an interview by actress Lena Dunham"
"7553",7554,"barely-true","There is majority support for the Democrats' health care plans.","health-care","valerie-jarrett","senior adviser to President Barack Obama","Illinois","democrat",1,1,0,0,0,"an interview on ABC's 'This Week with George Stephanopoulos'"
"7554",7555,"false","We know from the social science that children do best with a mom and a dad.","civil-rights,diversity,families,gays-and-lesbians,marriage","tony-perkins","unknown","unknown","republican",0,1,1,0,0,"comments on ""Fox News Sunday"""
"7555",7556,"true","From 05 to 09, weve had 1,100 soldiers commit suicide, one every 36 hours.","military","tim-ryan","U.S. representative","Ohio","democrat",0,0,0,5,1,"a House committee hearing"
"7556",7557,"half-true","Says $30 million gap in stadium funding forced the Portland Beavers to leave.","baseball","sam-adams","Mayor of Portland","Oregon","democrat",3,2,5,2,0,"John Canzano's radio show"
"7557",7558,"half-true","Murder went up when Romney was governor. Robbery went up. Violent crimes went up.","crime","rudy-giuliani","Attorney","New York","republican",9,11,10,7,3,"a newspaper interview."
"7558",7559,"mostly-true","All 28 members of NATO have pledged to spend at least 2 percent of their economy on defense. But only three countries do -- Britain, Greece and us.","economy,foreign-policy,iraq,military","paul-ryan","U.S. Representative","Wisconsin","republican",19,6,16,14,2,"a speech"
"7559",7560,"barely-true","Under Scott Walker, Wisconsin moved from 16th to third in percentage of people with student loan debt.","education","scot-ross","unknown","unknown","activist",1,0,0,0,0,"a television interview"
"7560",7561,"mostly-true","Nine out of the 10 poorest states are Red states.","corrections-and-updates,economy,elections,income,poverty,wealth","occupy-democrats","unknown","unknown","organization",0,4,3,1,4,"a Facebook post"
